id,code,name,city,product_id
1,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,1
2,BOS, MA: Logan International,Boston,2
3,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,3
4,CLT, NC: Charlotte Douglas International,Charlotte,4
5,DCA, DC: Ronald Reagan Washington National,Washington,5
6,DEN, CO: Denver International,Denver,6
7,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,7
8,DTW, MI: Detroit Metro Wayne County,Detroit,8
9,EWR, NJ: Newark Liberty International,Newark,9
10,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,10
11,IAD, DC: Washington Dulles International,Washington,11
12,IAH, TX: George Bush Intercontinental/Houston,Houston,12
13,JFK, NY: John F. Kennedy International,New York,13
14,LAS, NV: McCarran International,Las Vegas,14
15,LAX, CA: Los Angeles International,Los Angeles,15
16,LGA, NY: LaGuardia,New York,16
17,MCO, FL: Orlando International,Orlando,17
18,MDW, IL: Chicago Midway International,Chicago,18
19,MIA, FL: Miami International,Miami,19
20,MSP, MN: Minneapolis-St Paul International,Minneapolis,20
21,ORD, IL: Chicago O'Hare International,Chicago,21
22,PDX, OR: Portland International,Portland,22
23,PHL, PA: Philadelphia International,Philadelphia,23
24,PHX, AZ: Phoenix Sky Harbor International,Phoenix,24
25,SAN, CA: San Diego International,San Diego,25
26,SEA, WA: Seattle/Tacoma International,Seattle,26
27,SFO, CA: San Francisco International,San Francisco,27
28,SLC, UT: Salt Lake City International,Salt Lake City,28
29,TPA, FL: Tampa International,Tampa,29
30,BOS, MA: Logan International,Boston,30
31,DCA, DC: Ronald Reagan Washington National,Washington,31
32,DEN, CO: Denver International,Denver,32
33,EWR, NJ: Newark Liberty International,Newark,33
34,IAD, DC: Washington Dulles International,Washington,34
35,LAS, NV: McCarran International,Las Vegas,35
36,LAX, CA: Los Angeles International,Los Angeles,36
37,MCO, FL: Orlando International,Orlando,37
38,MIA, FL: Miami International,Miami,38
39,ORD, IL: Chicago O'Hare International,Chicago,39
40,PDX, OR: Portland International,Portland,40
41,PHX, AZ: Phoenix Sky Harbor International,Phoenix,41
42,SAN, CA: San Diego International,San Diego,42
43,SEA, WA: Seattle/Tacoma International,Seattle,43
44,SFO, CA: San Francisco International,San Francisco,44
45,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,45
46,DEN, CO: Denver International,Denver,46
47,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,47
48,IAD, DC: Washington Dulles International,Washington,48
49,JFK, NY: John F. Kennedy International,New York,49
50,LAS, NV: McCarran International,Las Vegas,50
51,MCO, FL: Orlando International,Orlando,51
52,SAN, CA: San Diego International,San Diego,52
53,SEA, WA: Seattle/Tacoma International,Seattle,53
54,SLC, UT: Salt Lake City International,Salt Lake City,54
55,TPA, FL: Tampa International,Tampa,55
56,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,56
57,BOS, MA: Logan International,Boston,57
58,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,58
59,CLT, NC: Charlotte Douglas International,Charlotte,59
60,DCA, DC: Ronald Reagan Washington National,Washington,60
61,DEN, CO: Denver International,Denver,61
62,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,62
63,DTW, MI: Detroit Metro Wayne County,Detroit,63
64,EWR, NJ: Newark Liberty International,Newark,64
65,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,65
66,IAD, DC: Washington Dulles International,Washington,66
67,IAH, TX: George Bush Intercontinental/Houston,Houston,67
68,JFK, NY: John F. Kennedy International,New York,68
69,LAS, NV: McCarran International,Las Vegas,69
70,LAX, CA: Los Angeles International,Los Angeles,70
71,LGA, NY: LaGuardia,New York,71
72,MCO, FL: Orlando International,Orlando,72
73,MDW, IL: Chicago Midway International,Chicago,73
74,MIA, FL: Miami International,Miami,74
75,MSP, MN: Minneapolis-St Paul International,Minneapolis,75
76,ORD, IL: Chicago O'Hare International,Chicago,76
77,PDX, OR: Portland International,Portland,77
78,PHL, PA: Philadelphia International,Philadelphia,78
79,PHX, AZ: Phoenix Sky Harbor International,Phoenix,79
80,SAN, CA: San Diego International,San Diego,80
81,SEA, WA: Seattle/Tacoma International,Seattle,81
82,SFO, CA: San Francisco International,San Francisco,82
83,SLC, UT: Salt Lake City International,Salt Lake City,83
84,TPA, FL: Tampa International,Tampa,84
85,BOS, MA: Logan International,Boston,85
86,CLT, NC: Charlotte Douglas International,Charlotte,86
87,DCA, DC: Ronald Reagan Washington National,Washington,87
88,DTW, MI: Detroit Metro Wayne County,Detroit,88
