id,language,value,product_id
5,english,Bulbasaur,3237
6,japanese,フシギダネ,3237
7,chinese,妙蛙种子,3237
8,french,Bulbizarre,3237
9,english,Ivysaur,3238
10,japanese,フシギソウ,3238
11,chinese,妙蛙草,3238
12,french,Herbizarre,3238
13,english,Venusaur,3239
14,japanese,フシギバナ,3239
15,chinese,妙蛙花,3239
16,french,Florizarre,3239
17,english,Charmander,3240
18,japanese,ヒトカゲ,3240
19,chinese,小火龙,3240
20,french,Salamèche,3240
21,english,Charmeleon,3241
22,japanese,リザード,3241
23,chinese,火恐龙,3241
24,french,Reptincel,3241
25,english,Charizard,3242
26,japanese,リザードン,3242
27,chinese,喷火龙,3242
28,french,Dracaufeu,3242
29,english,Squirtle,3243
30,japanese,ゼニガメ,3243
31,chinese,杰尼龟,3243
32,french,Carapuce,3243
33,english,Wartortle,3244
34,japanese,カメール,3244
35,chinese,卡咪龟,3244
36,french,Carabaffe,3244
37,english,Blastoise,3245
38,japanese,カメックス,3245
39,chinese,水箭龟,3245
40,french,Tortank,3245
41,english,Caterpie,3246
42,japanese,キャタピー,3246
43,chinese,绿毛虫,3246
44,french,Chenipan,3246
45,english,Metapod,3247
46,japanese,トランセル,3247
47,chinese,铁甲蛹,3247
48,french,Chrysacier,3247
49,english,Butterfree,3248
50,japanese,バタフリー,3248
51,chinese,巴大蝶,3248
52,french,Papilusion,3248
53,english,Weedle,3249
54,japanese,ビードル,3249
55,chinese,独角虫,3249
56,french,Aspicot,3249
57,english,Kakuna,3250
58,japanese,コクーン,3250
59,chinese,铁壳蛹,3250
60,french,Coconfort,3250
61,english,Beedrill,3251
62,japanese,スピアー,3251
63,chinese,大针蜂,3251
64,french,Dardargnan,3251
65,english,Pidgey,3252
66,japanese,ポッポ,3252
67,chinese,波波,3252
68,french,Roucool,3252
69,english,Pidgeotto,3253
70,japanese,ピジョン,3253
71,chinese,比比鸟,3253
72,french,Roucoups,3253
73,english,Pidgeot,3254
74,japanese,ピジョット,3254
75,chinese,大比鸟,3254
76,french,Roucarnage,3254
77,english,Rattata,3255
78,japanese,コラッタ,3255
79,chinese,小拉达,3255
80,french,Rattata,3255
81,english,Raticate,3256
82,japanese,ラッタ,3256
83,chinese,拉达,3256
84,french,Rattatac,3256
85,english,Spearow,3257
86,japanese,オニスズメ,3257
87,chinese,烈雀,3257
88,french,Piafabec,3257
89,english,Fearow,3258
90,japanese,オニドリル,3258
91,chinese,大嘴雀,3258
92,french,Rapasdepic,3258
93,english,Ekans,3259
94,japanese,アーボ,3259
95,chinese,阿柏蛇,3259
96,french,Abo,3259
97,english,Arbok,3260
98,japanese,アーボック,3260
99,chinese,阿柏怪,3260
100,french,Arbok,3260
101,english,Pikachu,3261
102,japanese,ピカチュウ,3261
103,chinese,皮卡丘,3261
104,french,Pikachu,3261
105,english,Raichu,3262
